solver,time,file,result
utopia,1150.043757200241,../testfiles/competitions/2011/application/SAT03/industrial/goldberg/hard_eq_check/x1mul.miter.shuffled-as.sat03-359.cnf.bz2,UNSATISFIABLE
utopia,116.88896369934082,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-pipesworld-18-step16.cnf.bz2,SATISFIABLE
utopia,120.11374282836914,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k50-pdtvisns2p3-tseitin.cnf.bz2,UNSATISFIABLE
utopia,120.29006218910216,../testfiles/competitions/2011/application/SAT11/application/manthey/traffic/traffic_3_uc_sat.cnf.bz2,SATISFIABLE
utopia,13.842661142349243,../testfiles/competitions/2011/application/SAT-Race-2010-CNF/software-verification/nec/hard-6-U-7061.cnf.bz2,UNSATISFIABLE
utopia,137.3168749809265,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/smtqfbv-aigs/smtlib-qfbv-aigs-nlzbe256-tseitin.cnf.bz2,UNSATISFIABLE
utopia,14.369193077087402,../testfiles/competitions/2011/application/SAT-Race-2010-CNF/software-verification/nec/hard-18-U-10652.cnf.bz2,UNSATISFIABLE
utopia,142.4383099079132,../testfiles/competitions/2011/application/SAT11/application/rintanen/SATPlanning/blocks-blocks-37-1.150-SAT.cnf.bz2,SATISFIABLE
utopia,145.10243201255798,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/AAAI2010-SATPlanning/aaai10-planning-ipc5-TPP-30-step11.cnf.bz2,SATISFIABLE
utopia,148.69749689102173,../testfiles/competitions/2011/application/SAT07/industrial/babic/dspam/dspam_dump_vc949.cnf.bz2,UNSATISFIABLE
utopia,149.0079469680786,../testfiles/competitions/2011/application/SAT11/application/leberre/2dimensionalstrippacking/E02F17.cnf.bz2,UNSATISFIABLE
utopia,15.21668791770935,../testfiles/competitions/2011/application/SAT11/application/jarvisalo/HWMCC10-combination-timeframe-expansion/hwmcc10-timeframe-expansion-k45-pdtswvqis8x8p2-tseitin.cnf.bz2,UNSATISFIABLE
