solver,time,file,assignments
utopia-no-inprocessing,0.012252092361450195,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm26-p0-q248.cnf,0.0
minisat,0.0123059749603271,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm24-p0-q209.cnf,0.0
utopia,0.012341022491455,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm25-p0-q219.cnf,0.0
minisat,0.0124127864837646,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,0.0
utopia-no-inprocessing,0.01243281364440918,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,0.0
utopia-no-restarts,0.01244211196899414,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n19himBHm22-p0-q181.cnf,0.0
utopia-luby-restarts,0.012455940246582,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm26-p0-q248.cnf,0.0
utopia-no-inprocessing,0.012475013732910156,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,0.0
minisat,0.0125229358673095,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n3_i3_pp.cnf,0.0
utopia-luby-restarts,0.0126669406890869,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult4.cnf,0.0
utopia,0.0127270221710205,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm24-p0-q209.cnf,0.0
utopia-no-restarts,0.012890100479125977,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK08.cnf,0.0
utopia-luby-restarts,0.0128989219665527,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm24-p0-q209.cnf,0.0
utopia-luby-restarts,0.0129318237304687,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,0.0
minisat,0.0129690170288085,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n17himBHm20-p0-q146.cnf,0.0
utopia,0.0130791664123535,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult4.cnf,0.0
utopia-luby-restarts,0.0131404399871826,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n3_i4_pp_ci_ce.cnf,0.0
utopia,0.0131518840789794,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm26-p0-q248.cnf,0.0
minisat,0.0132417678833007,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult4.cnf,0.0
utopia-luby-restarts,0.0132429599761962,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,0.0
utopia-no-restarts,0.013264179229736328,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n17himBHm20-p0-q146.cnf,0.0
utopia-no-restarts,0.013278961181640625,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm27-p0-q251.cnf,0.0
utopia-no-restarts,0.013787269592285156,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm26-p0-q248.cnf,0.0
utopia-no-restarts,0.01379704475402832,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult4.cnf,0.0
utopia-no-inprocessing,0.01388692855834961,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n3_i4_pp_ci_ce.cnf,0.0
minisat,0.0139572620391845,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,0.0
utopia-no-restarts,0.014033794403076172,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n18himBHm21-p0-q167.cnf,0.0
utopia-no-restarts,0.014081001281738281,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n23himBHm25-p0-q219.cnf,0.0
utopia-no-restarts,0.014458894729614258,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm24-p0-q209.cnf,0.0
utopia-no-restarts,0.014557123184204102,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,0.0
minisat,0.0148320198059082,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm29-p0-q290.cnf,0.0
utopia-no-inprocessing,0.015015840530395508,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm29-p0-q290.cnf,0.0
utopia,0.0154433250427246,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n3_i4_pp_ci_ce.cnf,0.0
utopia-no-restarts,0.015444040298461914,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,0.0
utopia-luby-restarts,0.0155117511749267,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm29-p0-q290.cnf,0.0
utopia,0.0155830383300781,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n22himBHm25-p0-q229.cnf,0.0
utopia-no-inprocessing,0.015748977661132812,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,0.0
utopia-luby-restarts,0.0160651206970214,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult7.cnf,0.0
utopia,0.0160748958587646,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,0.0
utopia-luby-restarts,0.0164289474487304,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,0.0
minisat,0.0165371894836425,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,0.0
utopia-no-inprocessing,0.01672506332397461,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult7.cnf,0.0
utopia-no-restarts,0.016783714294433594,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n3_i4_pp_ci_ce.cnf,0.0
utopia-no-inprocessing,0.01684093475341797,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp.cnf,0.0
utopia,0.0170350074768066,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult7.cnf,0.0
utopia,0.0172626972198486,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm29-p0-q290.cnf,0.0
utopia-no-restarts,0.017653942108154297,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm29-p0-q290.cnf,0.0
utopia-no-restarts,0.01800990104675293,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n28himBHm30-p0-q333.cnf,0.0
utopia,0.0182459354400634,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK09.cnf,0.0
minisat,0.0182578563690185,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK08.cnf,0.0
minisat,0.018277883529663,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult7.cnf,0.0
utopia-luby-restarts,0.0182929039001464,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK09.cnf,0.0
utopia-no-restarts,0.01849079132080078,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp.cnf,0.0
utopia,0.0185813903808593,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp.cnf,0.0
utopia-no-restarts,0.018812894821166992,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/sgi-difficult7.cnf,0.0
utopia-no-inprocessing,0.01906418800354004,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK09.cnf,0.0
utopia-no-restarts,0.02072286605834961,../testfiles/competitions/2009/SAT09/CRAFTED/ramseycube/Q3inK09.cnf,0.0
utopia,0.0207488536834716,../testfiles/competitions/2009/SAT09/CRAFTED/sgi/satsgi-n25himBHm27-p0-q251.cnf,0.0
minisat,0.020892858505249,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp.cnf,0.0
utopia-no-restarts,0.02804875373840332,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,0.0
utopia-luby-restarts,0.0311551094055175,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp.cnf,0.0
utopia-no-inprocessing,0.032119035720825195,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,0.0
utopia,0.0341231822967529,../testfiles/competitions/2009/SAT09/CRAFTED/parity-games/instance_n4_i4_pp_ci_ce.cnf,0.0
